index geno pheno fit
 0 0 1.0821 1.03445 
 1 1 1.69137 1.04475 
 2 0 1.48375 1.08751 
 3 0 -0.58647 0.977856 
 4 1 1.77152 1.10802 
 5 0 -1.07715 0.939516 
 6 0 -1.97687 0.907527 
 7 1 1.47209 1.07439 
 8 1 1.74967 1.04882 
 9 0 1.39128 1.08767 
 10 1 1.92373 1.09516 
 11 0 1.53375 1.07977 
 12 1 0.958339 1.03209 
 13 1 -0.541125 0.978829 
 14 1 -0.177297 0.992076 
 15 1 0.0336737 1.00188 
 16 0 1.91429 1.09828 
 17 1 0.275508 1.01522 
 18 0 -0.943729 0.947619 
 19 1 -0.157117 0.991597 
 20 0 0.768262 1.04103 
 21 0 -2.00791 0.879909 
 22 1 1.18417 1.06058 
 23 0 0.216825 1.01019 
 24 1 0.880639 1.03909 
 25 0 -0.346775 0.986677 
 26 0 -0.440642 0.971231 
 27 0 2.30369 1.08023 
 28 0 -0.785325 0.958513 
 29 0 -1.95995 0.91133 
 30 0 0.712356 1.04606 
 31 0 -0.12662 0.993923 
 32 0 0.0661229 1.00231 
 33 0 0.887107 1.0454 
 34 1 0.91386 1.03611 
 35 0 0.463499 1.02575 
 36 0 -0.701274 0.960482 
 37 1 1.88922 1.08621 
 38 0 0.176481 1.01003 
 39 1 1.18141 1.06278 
 40 0 0.901793 1.06236 
 41 1 0.965042 1.0588 
 42 1 0.845641 1.04261 
 43 0 1.0741 1.03505 
 44 0 -0.895378 0.963674 
 45 0 -0.625819 0.964405 
 46 0 -0.812408 0.954593 
 47 1 1.82572 1.0982 
 48 0 0.941285 1.05952 
 49 0 -0.487834 0.970367 
 50 1 0.315513 1.01865 
 51 0 0.25957 1.0171 
 52 0 -2.3898 0.857985 
 53 1 1.05244 1.05036 
 54 0 0.474192 1.02227 
 55 0 -1.90608 0.920272 
 56 1 -0.0169234 0.999253 
 57 0 1.92918 1.06735 
 58 1 1.32794 1.06504 
 59 0 1.0612 1.04328 
 60 1 -0.27071 0.983699 
 61 1 1.29416 1.04145 
 62 0 -0.833319 0.947554 
 63 0 -0.527481 0.98655 
 64 1 0.827765 1.03777 
 65 0 -0.605266 0.972494 
 66 0 0.336183 1.01917 
 67 1 0.496647 1.02215 
 68 1 0.312377 1.01416 
 69 1 0.790767 1.04314 
 70 0 0.62922 1.03108 
 71 0 1.08982 1.061 
 72 0 1.00033 1.04946 
 73 0 0.197351 1.00956 
 74 1 -0.0323825 0.997958 
 75 0 0.614156 1.0388 
 76 0 0.936283 1.05496 
 77 1 2.21211 1.14207 
 78 0 -0.0882899 0.994695 
 79 1 1.13013 1.04008 
 80 1 1.81531 1.0668 
 81 1 2.08375 1.13151 
 82 0 -2.02672 0.912891 
 83 0 0.342586 1.01656 
 84 0 -0.69317 0.964835 
 85 0 1.69994 1.06755 
 86 0 -0.0237925 0.998628 
 87 1 0.24559 1.01487 
 88 0 -0.588677 0.982738 
 89 1 0.223609 1.01167 
 90 0 -1.67735 0.892529 
 91 0 -0.503516 0.967098 
 92 1 -0.345752 0.981902 
 93 0 2.05952 1.07917 
 94 0 1.49174 1.06483 
 95 0 -0.284156 0.986141 
 96 0 -1.35731 0.939724 
 97 1 1.10301 1.0409 
 98 1 0.491614 1.02991 
 99 0 -1.2348 0.95097 
 100 0 -0.343231 0.978237 
 101 1 2.26988 1.09425 
 102 0 -0.763728 0.964172 
 103 0 0.798692 1.03204 
 104 1 -0.53206 0.976261 
 105 0 -1.9484 0.920532 
 106 1 0.657175 1.03442 
 107 0 0.0982656 1.00448 
 108 1 0.0813832 1.00635 
 109 1 2.81445 1.14397 
 110 1 0.578019 1.02129 
 111 0 0.0199478 1.00088 
 112 1 2.46714 1.14499 
 113 0 1.47497 1.07045 
 114 1 0.731933 1.03532 
 115 0 0.924868 1.03469 
 116 0 0.630032 1.03689 
 117 0 0.745685 1.03581 
 118 0 -0.00952293 0.999342 
 119 1 1.5502 1.05344 
 120 0 1.36775 1.05042 
 121 0 1.97004 1.08639 
 122 0 -0.164174 0.990813 
 123 0 -0.954945 0.944008 
 124 0 0.210404 1.01295 
 125 0 0.136251 1.00818 
 126 0 1.39145 1.07237 
 127 1 2.03956 1.10096 
 128 1 0.0390346 1.00191 
 129 0 0.923245 1.05198 
 130 0 0.759575 1.04303 
 131 1 2.58296 1.13217 
 132 1 2.97894 1.13846 
 133 0 0.757545 1.0437 
 134 1 2.79686 1.14463 
 135 0 0.728282 1.02926 
 136 1 0.143927 1.00851 
 137 1 0.56711 1.02186 
 138 0 -0.439278 0.987884 
 139 1 -1.1113 0.951361 
 140 0 1.15403 1.06921 
 141 0 -0.503763 0.975481 
 142 1 -0.697366 0.970883 
 143 1 2.4056 1.1432 
 144 0 -0.873376 0.963705 
 145 1 0.152987 1.00951 
 146 1 -1.12468 0.937221 
 147 1 0.438064 1.02274 
 148 0 0.707644 1.04689 
 149 1 0.105479 1.00488 
 150 1 0.813789 1.04103 
 151 0 -0.458446 0.973145 
 152 0 0.15274 1.00548 
 153 0 0.150236 1.00747 
 154 0 -0.128541 0.990788 
 155 1 0.156721 1.00647 
 156 1 2.28233 1.09604 
 157 0 0.161461 1.00732 
 158 0 -1.00094 0.954612 
 159 0 1.04223 1.04147 
 160 1 0.838336 1.04161 
 161 1 1.90198 1.07884 
 162 0 0.795431 1.03297 
 163 0 -1.22061 0.954213 
 164 1 -0.14629 0.993888 
 165 1 2.00633 1.07806 
 166 1 -0.623195 0.963007 
 167 0 -0.531926 0.980915 
 168 1 0.372852 1.01935 
 169 1 0.988246 1.05869 
 170 1 -0.534707 0.974382 
 171 1 0.504041 1.02431 
 172 1 0.707094 1.02993 
 173 1 1.56376 1.05811 
 174 0 0.527943 1.02503 
 175 0 -0.139728 0.992552 
 176 0 0.23182 1.01167 
 177 1 -0.7985 0.963586 
 178 0 -0.110872 0.994384 
 179 0 0.337258 1.01947 
 180 1 0.74675 1.05218 
 181 1 1.21194 1.04703 
 182 1 0.174955 1.00752 
 183 1 1.59185 1.06208 
 184 0 -0.911557 0.962625 
 185 0 1.54802 1.10735 
 186 0 0.368837 1.02071 
 187 0 1.23398 1.05778 
 188 1 2.17732 1.09582 
 189 1 0.943199 1.04641 
 190 0 -1.89154 0.902269 
 191 1 0.837877 1.03842 
 192 1 1.90918 1.08222 
 193 0 0.2661 1.01616 
 194 1 3.23261 1.119 
 195 1 2.32586 1.11448 
 196 0 0.417293 1.02268 
 197 1 1.32677 1.065 
 198 0 0.316237 1.01531 
 199 1 1.43881 1.07494 
 200 1 2.51375 1.13485 
 201 1 -0.410031 0.980754 
 202 0 0.931991 1.03381 
 203 1 -0.0191511 0.999122 
 204 0 -0.588208 0.973026 
 205 0 1.48759 1.08223 
 206 1 0.852521 1.05006 
 207 1 2.50148 1.10206 
 208 0 1.01976 1.07081 
 209 1 0.947971 1.05982 
 210 0 -0.124665 0.994132 
 211 0 -0.556678 0.972065 
 212 0 -1.67281 0.919771 
 213 1 0.284586 1.01339 
 214 1 -0.213772 0.988866 
 215 0 1.2724 1.09084 
 216 0 -0.176459 0.991402 
 217 1 -0.0200929 0.99905 
 218 1 -0.471469 0.976214 
 219 0 -0.159678 0.993845 
 220 0 0.963876 1.032 
 221 1 1.81503 1.07788 
 222 0 0.461213 1.02636 
 223 0 0.422806 1.02398 
 224 0 -0.671132 0.967825 
 225 0 -0.974782 0.964284 
 226 1 -0.861011 0.971964 
 227 1 2.65095 1.12508 
 228 1 1.28771 1.08138 
 229 1 2.27539 1.1108 
 230 1 0.276572 1.01677 
 231 1 0.656765 1.03811 
 232 0 -1.57522 0.937506 
 233 0 0.376116 1.01615 
 234 0 -0.714853 0.961279 
 235 0 0.517239 1.02288 
 236 0 0.182017 1.01271 
 237 0 -0.238245 0.989059 
 238 1 1.50909 1.06401 
 239 1 -0.414463 0.972269 
 240 1 1.33534 1.05907 
 241 1 0.364586 1.01691 
 242 1 0.889878 1.05373 
 243 0 0.612395 1.02665 
 244 0 -0.0330271 0.998483 
 245 0 -0.689688 0.977081 
 246 1 1.12917 1.05034 
 247 1 1.14301 1.07608 
 248 1 2.773 1.15093 
 249 1 1.61983 1.08448 
 250 1 0.366304 1.02547 
 251 0 -0.619008 0.976113 
 252 0 -0.0951446 0.994008 
 253 1 1.44887 1.07145 
 254 1 1.19274 1.05832 
 255 0 -0.51632 0.971794 
 256 0 1.14189 1.05546 
 257 1 1.74783 1.0702 
 258 0 0.68789 1.0404 
 259 1 0.569007 1.03312 
 260 0 0.603903 1.03041 
 261 1 1.97309 1.07389 
 262 1 0.989202 1.04187 
 263 1 0.13789 1.00742 
 264 1 0.820503 1.04675 
 265 0 0.00603956 1.00033 
 266 0 0.798211 1.03689 
 267 0 -0.493995 0.971566 
 268 1 0.601593 1.03838 
 269 1 -0.659895 0.972806 
 270 0 0.563436 1.03369 
