index geno pheno fit children
12320000 0 -0.665856 0.966301 3
12320001 0 -0.385138 1.00166 1
12320002 1 2.20877 1.11495 1
12320003 0 -0.508219 0.980795 5
12320004 1 1.32348 1.07022 5
12320005 2 4.14767 1.23 2
12320006 1 1.35496 1.07878 3
12320007 2 1.24856 1.07977 4
12320008 1 2.26917 1.10486 1
12320009 2 1.3541 1.05093 5
12320010 0 -0.0102483 0.999346 1
12320011 0 2.30907 1.12935 2
12320012 2 2.60045 1.13761 1
12320013 0 -1.24402 0.946538 1
12320014 2 1.40644 1.066 1
12320015 1 -0.233277 0.990716 0
12320016 1 -0.223971 0.977247 0
12320017 2 2.33577 1.10445 2
12320018 0 -1.66395 0.911137 1
12320019 2 0.930191 1.05526 5
12320020 2 1.00404 1.04906 1
12320021 2 1.5918 1.07835 5
12320022 1 2.33553 1.10395 0
12320023 1 1.20216 1.04815 1
12320024 0 -0.384753 0.980393 1
12320025 1 0.987643 1.04 3
12320026 1 2.11706 1.11537 1
12320027 1 -0.491217 0.971819 2
12320028 2 2.25111 1.11459 5
12320029 1 -0.785863 0.983439 2
12320030 2 2.02844 1.08183 0
12320031 0 -0.971575 0.951266 4
12320032 1 0.716288 1.05472 6
12320033 1 0.231365 1.00604 0
12320034 0 -0.65772 0.972261 1
12320035 1 2.76672 1.14737 1
12320036 0 0.0213671 0.999339 3
12320037 1 1.53341 1.06522 6
12320038 0 -0.208205 0.98687 3
12320039 1 0.621396 1.02691 6
12320040 0 -0.484872 0.96345 1
12320041 0 -0.552599 0.964654 0
12320042 1 0.44997 1.03184 3
12320043 0 -0.116342 1.00857 0
12320044 1 -0.134492 0.998384 3
12320045 1 1.44712 1.05736 0
12320046 0 0.0479047 1.01306 2
12320047 1 2.85744 1.13457 1
12320048 0 -2.34555 0.882513 2
12320049 1 0.118553 0.999818 2
12320050 1 0.508429 1.01787 2
12320051 1 0.813834 1.04124 0
12320052 1 0.786414 1.05042 4
12320053 2 1.21267 1.06398 2
12320054 1 0.810466 1.03831 6
