index geno pheno fit
 11860000 1 1.37782 1.06793 
 11860001 1 0.965251 1.04238 
 11860002 0 1.08412 1.0376 
 11860003 0 -1.2756 0.916551 
 11860004 1 1.30199 1.05814 
 11860005 1 1.37622 1.08373 
 11860006 0 -1.6329 0.898032 
 11860007 1 2.21069 1.10895 
 11860008 1 1.01409 1.05031 
 11860009 0 -3.26679 0.885876 
 11860010 0 1.11934 1.07054 
 11860011 1 1.25949 1.05966 
 11860012 0 1.0485 1.07266 
 11860013 1 2.19944 1.11426 
 11860014 1 1.65242 1.04202 
 11860015 1 -0.719677 0.95915 
 11860016 0 0.265222 1.01046 
 11860017 1 -0.549251 0.977579 
 11860018 0 1.07927 1.05798 
 11860019 1 1.44837 1.05943 
 11860020 0 -0.283898 0.985465 
 11860021 0 1.14397 1.05613 
 11860022 1 2.13443 1.10651 
 11860023 0 1.14922 1.06272 
 11860024 0 -0.519975 0.973768 
 11860025 1 1.10255 1.03405 
 11860026 0 -1.01317 0.953045 
 11860027 0 2.36348 1.09599 
 11860028 1 0.834014 1.03835 
 11860029 0 -1.42865 0.914894 
 11860030 1 0.108634 1.00614 
 11860031 1 1.0531 1.06778 
 11860032 0 0.00719201 1.00039 
 11860033 0 -1.81925 0.922537 
 11860034 0 -0.0450637 0.99811 
 11860035 1 0.144543 1.00582 
 11860036 1 1.05062 1.04237 
 11860037 0 -0.339585 0.981836 
 11860038 1 2.74717 1.12212 
 11860039 0 0.759457 1.05115 
 11860040 1 0.880135 1.04094 
 11860041 0 0.233073 1.00995 
 11860042 1 0.508329 1.02373 
 11860043 0 -0.689059 0.947956 
 11860044 1 0.963978 1.03294 
 11860045 0 -0.94495 0.944248 
 11860046 0 2.44353 1.07328 
 11860047 1 1.28237 1.04251 
 11860048 0 -0.264542 0.987288 
 11860049 0 1.04446 1.04768 
 11860050 1 1.24865 1.05274 
 11860051 0 -1.94532 0.908165 
 11860052 0 0.468906 1.02146 
 11860053 0 -1.45537 0.937194 
 11860054 0 -0.817616 0.956489 
 11860055 0 -0.522546 0.97038 
 11860056 1 2.01466 1.12232 
 11860057 0 -0.508519 0.97676 
 11860058 0 2.67824 1.16656 
 11860059 1 -0.0408279 0.998328 
 11860060 1 -0.516061 0.9831 
 11860061 0 -0.679196 0.974691 
 11860062 1 1.06707 1.04646 
 11860063 1 0.869768 1.04218 
 11860064 1 -0.255568 0.987305 
 11860065 1 2.40129 1.15547 
 11860066 1 1.32455 1.07384 
 11860067 0 0.712375 1.03366 
 11860068 0 1.02251 1.06878 
 11860069 1 1.23649 1.057 
 11860070 1 0.851647 1.03991 
 11860071 0 1.48158 1.05439 
 11860072 0 -0.023016 0.999054 
 11860073 0 -0.549875 0.977116 
 11860074 1 0.761039 1.02269 
 11860075 0 0.0764905 1.00283 
 11860076 0 1.98885 1.12444 
 11860077 0 1.16798 1.04224 
 11860078 0 1.62945 1.07614 
 11860079 1 2.40793 1.10011 
 11860080 1 1.26179 1.07345 
 11860081 1 0.817659 1.03154 
 11860082 0 0.672323 1.03772 
 11860083 1 0.805083 1.02797 
 11860084 1 0.24036 1.01047 
 11860085 1 2.60594 1.11536 
 11860086 0 0.86276 1.04487 
 11860087 0 0.322325 1.01366 
 11860088 1 1.97797 1.11321 
 11860089 1 0.493647 1.03666 
 11860090 0 -0.25842 0.988859 
 11860091 0 0.273195 1.00984 
 11860092 0 -1.32936 0.94222 
 11860093 1 -1.10168 0.936656 
 11860094 1 -0.206265 0.986923 
 11860095 1 2.06769 1.06018 
 11860096 0 0.730796 1.03995 
 11860097 0 -0.122203 0.99541 
 11860098 0 1.90995 1.09419 
 11860099 0 0.0714449 1.00295 
 11860100 0 -2.29951 0.848198 
 11860101 1 1.65227 1.1222 
 11860102 1 0.154796 1.01051 
 11860103 1 0.933754 1.06477 
 11860104 1 1.30943 1.05231 
 11860105 1 1.62125 1.07684 
 11860106 1 0.498932 1.02008 
 11860107 1 0.957018 1.05804 
 11860108 1 0.64015 1.03801 
 11860109 0 0.0338068 1.00127 
 11860110 1 -1.59074 0.938118 
 11860111 1 -0.278067 0.986901 
 11860112 1 2.96529 1.16784 
 11860113 0 0.148394 1.006 
 11860114 1 1.4539 1.04974 
 11860115 0 -0.368224 0.981037 
 11860116 0 0.278427 1.01117 
 11860117 0 0.0556378 1.00236 
 11860118 1 -0.0147535 0.999254 
 11860119 1 1.01492 1.04252 
 11860120 0 1.42178 1.08564 
 11860121 0 -0.213187 0.990264 
 11860122 1 0.755305 1.03789 
 11860123 1 0.333544 1.01272 
 11860124 1 -0.629459 0.966018 
 11860125 0 0.22971 1.01425 
 11860126 0 0.0333369 1.00148 
 11860127 1 0.447515 1.01691 
 11860128 0 0.568397 1.03209 
 11860129 1 -0.918729 0.95999 
 11860130 1 -0.0168543 0.999387 
 11860131 1 2.63139 1.15091 
 11860132 1 1.49105 1.05994 
 11860133 1 0.335688 1.01726 
 11860134 1 0.902902 1.03853 
 11860135 0 -1.57954 0.925798 
 11860136 1 -1.3928 0.955361 
 11860137 0 -2.17262 0.901625 
 11860138 1 -0.471052 0.97951 
 11860139 0 -0.703262 0.953729 
 11860140 1 -1.01855 0.970676 
 11860141 1 0.0273093 1.0012 
 11860142 1 0.0249531 1.00102 
 11860143 0 0.296208 1.01975 
 11860144 0 0.104884 1.0068 
 11860145 0 -0.0483609 0.997329 
 11860146 1 1.46354 1.07612 
 11860147 1 -0.31858 0.982178 
 11860148 1 1.66885 1.11228 
 11860149 0 0.796465 1.03021 
 11860150 0 -0.534105 0.971129 
 11860151 1 0.24832 1.01308 
 11860152 0 2.34758 1.09639 
 11860153 0 -0.0351765 0.998489 
 11860154 1 0.560362 1.02744 
 11860155 0 -0.323141 0.979645 
 11860156 0 0.0260994 1.00121 
 11860157 0 2.20319e-05 1 
 11860158 0 -0.351045 0.992295 
 11860159 1 1.80575 1.08887 
 11860160 0 0.101902 1.0051 
 11860161 1 -0.712004 0.963446 
 11860162 1 2.62702 1.1352 
 11860163 1 0.922944 1.02535 
 11860164 1 1.12641 1.05852 
 11860165 0 -1.11178 0.935435 
 11860166 0 -0.464778 0.980713 
 11860167 0 -0.276121 0.990575 
 11860168 1 1.92781 1.09444 
 11860169 0 -0.310287 0.979073 
 11860170 1 0.128913 1.00837 
 11860171 0 -1.60957 0.925463 
 11860172 0 1.57059 1.0652 
 11860173 0 0.355172 1.02043 
 11860174 1 1.14921 1.06823 
 11860175 0 0.879803 1.03552 
 11860176 0 1.46716 1.06205 
 11860177 1 1.71741 1.09494 
 11860178 0 -0.631527 0.965506 
 11860179 1 1.98959 1.11228 
 11860180 0 -0.770738 0.958456 
 11860181 0 -0.11548 0.991712 
 11860182 0 0.294006 1.01425 
 11860183 1 1.61078 1.10038 
 11860184 0 1.66785 1.08035 
 11860185 1 1.74047 1.07962 
 11860186 1 1.34934 1.06765 
 11860187 0 0.429694 1.02183 
 11860188 0 0.643123 1.02267 
 11860189 1 0.944492 1.04006 
 11860190 1 1.8622 1.0966 
 11860191 0 -0.775524 0.951753 
 11860192 1 0.365256 1.01099 
 11860193 0 0.346877 1.01896 
 11860194 1 0.514508 1.02265 
 11860195 1 1.22883 1.06634 
 11860196 0 0.279978 1.01382 
 11860197 0 -0.310803 0.986148 
 11860198 0 0.554463 1.02835 
 11860199 0 -2.74454 0.890149 
 11860200 1 -0.563308 0.966459 
 11860201 1 3.22419 1.16254 
 11860202 0 1.35133 1.06763 
 11860203 0 -0.259934 0.98606 
 11860204 0 0.193733 1.0107 
 11860205 0 -0.229711 0.987821 
 11860206 0 0.286888 1.01547 
 11860207 0 1.48343 1.07745 
 11860208 0 -0.0997937 0.994962 
 11860209 1 0.512411 1.03478 
 11860210 0 0.274754 1.01205 
 11860211 0 -1.04543 0.936286 
 11860212 1 1.75686 1.07082 
 11860213 0 -1.41489 0.929472 
 11860214 0 -1.85444 0.914446 
 11860215 0 0.905365 1.05495 
 11860216 0 -0.0816789 0.994955 
 11860217 0 -0.269794 0.991223 
 11860218 1 0.990975 1.04573 
 11860219 1 1.89653 1.10532 
 11860220 1 0.608167 1.0358 
 11860221 0 -0.638458 0.962326 
 11860222 0 -0.604046 0.974598 
 11860223 1 2.02034 1.08957 
 11860224 1 1.98503 1.1139 
 11860225 1 -0.554328 0.984781 
 11860226 1 1.88171 1.09231 
 11860227 0 -0.0945289 0.99645 
 11860228 0 -0.845144 0.952779 
 11860229 0 -1.30471 0.935011 
 11860230 0 0.86039 1.04025 
 11860231 0 0.88795 1.03417 
 11860232 0 -0.624234 0.971009 
 11860233 0 -0.723578 0.961739 
 11860234 0 -0.81106 0.953528 
 11860235 0 -0.668859 0.963202 
 11860236 1 0.235191 1.01276 
 11860237 0 -0.990354 0.946871 
 11860238 0 1.3262 1.09104 
 11860239 0 -0.186456 0.99316 
 11860240 1 1.24265 1.04608 
 11860241 1 1.40876 1.05522 
 11860242 1 1.87795 1.11631 
 11860243 1 -0.207572 0.991943 
 11860244 0 -0.542444 0.98396 
 11860245 0 -1.8974 0.915237 
 11860246 1 2.14281 1.07306 
 11860247 1 1.33632 1.05546 
 11860248 0 0.887564 1.05231 
 11860249 1 1.60056 1.09371 
 11860250 1 0.42952 1.0251 
 11860251 0 0.108525 1.00542 
 11860252 0 -0.210877 0.98883 
 11860253 0 1.47626 1.07005 
 11860254 0 0.325098 1.01501 
 11860255 0 -0.925249 0.941565 
 11860256 1 1.48045 1.07242 
 11860257 1 0.418884 1.02044 
 11860258 1 0.775725 1.02827 
 11860259 1 0.947983 1.05492 
 11860260 0 0.209994 1.00875 
 11860261 0 0.0253461 1.00103 
 11860262 0 -0.677582 0.959589 
 11860263 1 0.220374 1.01534 
 11860264 0 0.558943 1.02619 
 11860265 1 1.591 1.08591 
 11860266 0 -0.479941 0.978812 
 11860267 0 -0.101131 0.99397 
 11860268 1 1.72761 1.10138 
 11860269 1 0.778703 1.02991 
 11860270 0 -0.672129 0.962296 
 11860271 1 0.360721 1.00946 
 11860272 1 1.0505 1.05399 
 11860273 1 1.09772 1.0601 
 11860274 0 0.304308 1.01842 
 11860275 0 0.428336 1.02431 
 11860276 0 -0.136534 0.991708 
 11860277 1 1.39709 1.05855 
 11860278 1 3.10157 1.15541 
 11860279 0 1.48526 1.11104 
 11860280 1 1.22487 1.06938 
 11860281 1 -0.352373 0.980294 
 11860282 0 1.58553 1.05706 
 11860283 1 0.525784 1.02505 
 11860284 1 1.61567 1.09466 
 11860285 0 -0.331937 0.985791 
 11860286 1 0.635425 1.0348 
 11860287 0 -0.499763 0.97304 
 11860288 0 -1.06141 0.963275 
 11860289 0 1.67063 1.08105 
 11860290 0 -0.384991 0.977403 
 11860291 0 -0.724721 0.970248 
 11860292 1 2.08576 1.09253 
 11860293 0 0.27716 1.01289 
 11860294 1 1.85213 1.10661 
 11860295 0 -0.34049 0.984586 
 11860296 1 1.1154 1.06719 
 11860297 1 1.18728 1.06051 
 11860298 0 -0.316613 0.979459 
 11860299 1 1.3356 1.06916 
 11860300 1 0.868882 1.04072 
 11860301 1 0.748399 1.0231 
 11860302 1 1.25929 1.08594 
 11860303 1 2.54988 1.12552 
 11860304 0 0.094144 1.00413 
 11860305 0 -0.486665 0.974507 
 11860306 0 2.59369 1.15019 
 11860307 0 -0.930174 0.945182 
 11860308 0 -1.7422 0.908744 
 11860309 0 0.516166 1.02145 
 11860310 1 0.639941 1.03945 
 11860311 0 -2.0814 0.916818 
 11860312 0 -0.786282 0.964892 
 11860313 0 1.15025 1.05557 
 11860314 1 0.801898 1.02597 
 11860315 0 0.0375323 1.00185 
 11860316 0 1.65596 1.09139 
 11860317 1 1.52772 1.10207 
 11860318 1 1.53152 1.09547 
 11860319 1 -0.0325397 0.998874 
 11860320 0 1.79537 1.08051 
 11860321 0 0.173066 1.00725 
 11860322 1 -0.013497 0.999251 
 11860323 0 -0.456721 0.978807 
 11860324 1 -1.52624 0.939112 
 11860325 1 2.68697 1.16998 
 11860326 0 -0.156132 0.990671 
 11860327 1 0.958713 1.05464 
 11860328 1 3.52209 1.22868 
 11860329 0 0.624253 1.02209 
 11860330 0 0.0239485 1.00143 
 11860331 0 -0.438187 0.976022 
 11860332 1 2.58258 1.07806 
 11860333 0 0.649974 1.0279 
 11860334 1 -0.979992 0.937103 
 11860335 1 0.300248 1.01464 
 11860336 1 1.23327 1.08358 
 11860337 1 0.211712 1.00864 
 11860338 1 0.502502 1.0233 
 11860339 0 0.0573444 1.00251 
 11860340 1 -0.361786 0.979411 
 11860341 1 4.93547 1.30264 
 11860342 1 -1.88 0.920749 
 11860343 1 0.338653 1.0131 
 11860344 0 -0.765657 0.95561 
 11860345 0 -0.175389 0.993267 
 11860346 1 1.77922 1.0948 
 11860347 0 0.188275 1.01267 
 11860348 1 1.26734 1.04477 
 11860349 1 -0.473488 0.979449 
 11860350 0 -0.436626 0.982048 
 11860351 1 -0.030904 0.997884 
 11860352 1 -0.0091202 0.999643 
 11860353 0 0.188413 1.01145 
 11860354 0 -2.01058 0.893208 
 11860355 1 1.77589 1.09622 
 11860356 0 -1.0424 0.924179 
 11860357 0 -2.13569 0.932427 
 11860358 1 3.03968 1.16959 
 11860359 0 -0.0194231 0.99909 
 11860360 1 -0.920903 0.956441 
 11860361 1 1.98318 1.07628 
 11860362 0 -0.586686 0.978493 
 11860363 0 -0.73528 0.964518 
 11860364 1 -0.175882 0.99093 
 11860365 1 2.48106 1.04863 
