index parent1 parent2
12330000 12321272 12328068
12330001 12326258 12327401
12330002 12322695 12328839
12330003 12326452 12322901
12330004 12323212 12323024
12330005 12327659 12320103
12330006 12328655 12321872
12330007 12329316 12321935
12330008 12322158 12325147
12330009 12321610 12323099
12330010 12323718 12323311
12330011 12326555 12329083
12330012 12321528 12327232
12330013 12328022 12328508
12330014 12324271 12325242
12330015 12329839 12320129
12330016 12322030 12329892
12330017 12321018 12328958
12330018 12320249 12326698
12330019 12326809 12328844
12330020 12321959 12326729
12330021 12328627 12324990
12330022 12323711 12327338
12330023 12329345 12328718
12330024 12321944 12327346
12330025 12320330 12322186
12330026 12322588 12323479
12330027 12323769 12320004
12330028 12329019 12320355
12330029 12324611 12320297
12330030 12322152 12324414
12330031 12321947 12320322
12330032 12325633 12324585
12330033 12325362 12328694
12330034 12329756 12324194
12330035 12327771 12328260
12330036 12320655 12321328
12330037 12324827 12327149
12330038 12324493 12321637
12330039 12326863 12327054
12330040 12324407 12323946
12330041 12324045 12324686
12330042 12327238 12327596
12330043 12326459 12320288
12330044 12328402 12327777
12330045 12327863 12329649
12330046 12325603 12326680
12330047 12326647 12328767
12330048 12323969 12328471
12330049 12326977 12325015
12330050 12324194 12329543
12330051 12328499 12327200
12330052 12323774 12326750
12330053 12327026 12325881
12330054 12324387 12327384
12330055 12325335 12323832
12330056 12324890 12327106
12330057 12323682 12328257
12330058 12326754 12327504
12330059 12327244 12328352
12330060 12325575 12326585
12330061 12329970 12328331
12330062 12326012 12329767
12330063 12321979 12321223
12330064 12324940 12324700
12330065 12322016 12326318
12330066 12321290 12328162
12330067 12326322 12323449
12330068 12329730 12320328
12330069 12329423 12326905
12330070 12320468 12321054
12330071 12323688 12323922
12330072 12326372 12328653
12330073 12323617 12322039
12330074 12320379 12329550
12330075 12326681 12328667
12330076 12328352 12329142
12330077 12326221 12320004
12330078 12326608 12327558
12330079 12324908 12320255
12330080 12322105 12323452
12330081 12326792 12329351
12330082 12320707 12325890
12330083 12324288 12328763
12330084 12329773 12324790
12330085 12327816 12322484
12330086 12325226 12326881
12330087 12322607 12329774
12330088 12329390 12328254
12330089 12325136 12323949
12330090 12327902 12322616
12330091 12322083 12326079
12330092 12321196 12323331
12330093 12321481 12320921
12330094 12323836 12323526
12330095 12322047 12324555
12330096 12327062 12325678
12330097 12327958 12322587
12330098 12324827 12320965
12330099 12320631 12321547
12330100 12322794 12326174
12330101 12325700 12320511
12330102 12320567 12328559
12330103 12324376 12323091
12330104 12326608 12325657
12330105 12321094 12327171
12330106 12327101 12329865
12330107 12322598 12325513
12330108 12324786 12329541
12330109 12320327 12320165
12330110 12325188 12323180
12330111 12322925 12324829
12330112 12321003 12326898
12330113 12325720 12329106
12330114 12328033 12324700
12330115 12324374 12326959
12330116 12329130 12326973
12330117 12327820 12323798
12330118 12328154 12327746
12330119 12320255 12320204
12330120 12323449 12326019
12330121 12329078 12321845
12330122 12327707 12323786
12330123 12323968 12324211
12330124 12320919 12323956
12330125 12322840 12321165
12330126 12328652 12329399
12330127 12325551 12324200
12330128 12328460 12326973
12330129 12325457 12324217
12330130 12325564 12329818
12330131 12325064 12321970
12330132 12328088 12322480
12330133 12326753 12327832
12330134 12322166 12321459
12330135 12324374 12326836
12330136 12325341 12324882
12330137 12326137 12327109
12330138 12325263 12325559
12330139 12324863 12321546
12330140 12320562 12329736
12330141 12323406 12323465
12330142 12323873 12323354
12330143 12322678 12323811
12330144 12322553 12326934
12330145 12320658 12327806
12330146 12327195 12327639
12330147 12328662 12327060
12330148 12328261 12328489
12330149 12320991 12327305
12330150 12320543 12323448
12330151 12321489 12326477
12330152 12328185 12328995
12330153 12321688 12326456
12330154 12326982 12328738
12330155 12321752 12327297
12330156 12327888 12324704
12330157 12320692 12323594
12330158 12323303 12321854
12330159 12327906 12320518
12330160 12323552 12327314
12330161 12328423 12326991
12330162 12321150 12323798
12330163 12329801 12320272
12330164 12325760 12322539
12330165 12320971 12325620
12330166 12326251 12325119
12330167 12321243 12329163
12330168 12325608 12324625
12330169 12326026 12326803
12330170 12329615 12322634
12330171 12320537 12326135
12330172 12324206 12327421
12330173 12326475 12321439
12330174 12324566 12321066
12330175 12320730 12329982
12330176 12329055 12327276
12330177 12329246 12328123
12330178 12321291 12327334
12330179 12324626 12324410
12330180 12321728 12328391
12330181 12321427 12320732
12330182 12322028 12320972
12330183 12324542 12324516
12330184 12320007 12326219
12330185 12327753 12322170
12330186 12320793 12324723
12330187 12321807 12322185
12330188 12325004 12326715
12330189 12321616 12320229
12330190 12326472 12325824
12330191 12326673 12329783
12330192 12322429 12328613
12330193 12328922 12325926
12330194 12326793 12326227
12330195 12327277 12328731
12330196 12325885 12320224
12330197 12328095 12327640
12330198 12326486 12322852
12330199 12322478 12321868
12330200 12324082 12323314
12330201 12327949 12324694
12330202 12322493 12325450
12330203 12327675 12321065
12330204 12322976 12327180
12330205 12329793 12320417
12330206 12325897 12325875
12330207 12327562 12322418
12330208 12320637 12326431
12330209 12327830 12329796
12330210 12320436 12329458
12330211 12326559 12325970
12330212 12327061 12322737
12330213 12326405 12321576
12330214 12322406 12320814
12330215 12324703 12327582
12330216 12320538 12326072
12330217 12326399 12320331
12330218 12322639 12326688
12330219 12325415 12328696
12330220 12329851 12326102
12330221 12325774 12325505
12330222 12324420 12325073
12330223 12322506 12322193
12330224 12324592 12324425
12330225 12326125 12326351
12330226 12320752 12329359
12330227 12329939 12320133
12330228 12320262 12329807
12330229 12327509 12327126
12330230 12320232 12322864
12330231 12320124 12321913
12330232 12328723 12327543
12330233 12329398 12329861
12330234 12327927 12328741
12330235 12323813 12327188
12330236 12322465 12327444
12330237 12322048 12325770
12330238 12320996 12320758
12330239 12320896 12327522
12330240 12324111 12321014
12330241 12328110 12320413
12330242 12325510 12325549
12330243 12323522 12323206
12330244 12326003 12329545
12330245 12320159 12326708
12330246 12329354 12325520
12330247 12320359 12323998
12330248 12329345 12322440
12330249 12320959 12326974
12330250 12328945 12325341
12330251 12329336 12328274
12330252 12324111 12327987
12330253 12323806 12324221
12330254 12323371 12320634
12330255 12329155 12329450
12330256 12327424 12323745
12330257 12329966 12322665
12330258 12321443 12320124
12330259 12326721 12323255
12330260 12326734 12328694
12330261 12321311 12325499
12330262 12321571 12323892
12330263 12321882 12323056
12330264 12325941 12322911
12330265 12320595 12320691
12330266 12322205 12327561
12330267 12321223 12329333
12330268 12327794 12326885
12330269 12322425 12329085
12330270 12329852 12329140
12330271 12321306 12324356
12330272 12323061 12326069
12330273 12326840 12329709
12330274 12322367 12328143
12330275 12323532 12328765
12330276 12327123 12320200
12330277 12329149 12321467
12330278 12329199 12327352
12330279 12329041 12323396
12330280 12324919 12320244
12330281 12326995 12325701
12330282 12321845 12320113
12330283 12324973 12327064
12330284 12328154 12329404
12330285 12328756 12329178
12330286 12327676 12321713
12330287 12324524 12329999
12330288 12325630 12329574
12330289 12327543 12321719
12330290 12320038 12322409
12330291 12323159 12321318
12330292 12322737 12326285
12330293 12329382 12325732
12330294 12320084 12326658
12330295 12320360 12323164
12330296 12323624 12329488
12330297 12322470 12326564
12330298 12325279 12320648
12330299 12326443 12326028
12330300 12322910 12322043
12330301 12322454 12323253
12330302 12320399 12324907
12330303 12321610 12328158
12330304 12326107 12326465
12330305 12320683 12320324
12330306 12323997 12328602
12330307 12327809 12328318
12330308 12321967 12328963
12330309 12320947 12320450
12330310 12328136 12320804
12330311 12329900 12321056
12330312 12323410 12328901
12330313 12328612 12325964
12330314 12322121 12320503
12330315 12329373 12326377
12330316 12323099 12327837
12330317 12320507 12326565
12330318 12325334 12327355
12330319 12326108 12327905
12330320 12324028 12327339
12330321 12328279 12328302
12330322 12329708 12327004
12330323 12323504 12324001
12330324 12326148 12322930
12330325 12323497 12325700
12330326 12320235 12324324
12330327 12322340 12327237
12330328 12324586 12321941
12330329 12320708 12323844
12330330 12323942 12325951
12330331 12320945 12328089
12330332 12321972 12325950
12330333 12329846 12328620
12330334 12328686 12325192
12330335 12324690 12320056
12330336 12322950 12322912
12330337 12321233 12320789
12330338 12321967 12327599
12330339 12327719 12321070
12330340 12325932 12326218
12330341 12322519 12323004
12330342 12328830 12320537
12330343 12323544 12327589
12330344 12329205 12326310
12330345 12326151 12329545
12330346 12322882 12326993
12330347 12324361 12321428
12330348 12326309 12321309
12330349 12320973 12327143
12330350 12323252 12322979
12330351 12327412 12322411
12330352 12322506 12321509
12330353 12327436 12321548
12330354 12324515 12328668
12330355 12328364 12326685
12330356 12325343 12329860
12330357 12321312 12322387
12330358 12327344 12325925
12330359 12322164 12320243
12330360 12326564 12321637
12330361 12320830 12328937
12330362 12329172 12328297
12330363 12322926 12326874
12330364 12329251 12329816
12330365 12326268 12329671
12330366 12324494 12322560
12330367 12323861 12321847
12330368 12320674 12321260
12330369 12325806 12325576
12330370 12328555 12322283
12330371 12328193 12328233
12330372 12322364 12327041
12330373 12322575 12324047
12330374 12323244 12320082
12330375 12324955 12325711
12330376 12329965 12323981
12330377 12322505 12326947
12330378 12320025 12328163
12330379 12324840 12321526
12330380 12320141 12327408
12330381 12328377 12326075
12330382 12322491 12321615
12330383 12321821 12328225
12330384 12320392 12322573
12330385 12327182 12321469
12330386 12325757 12324260
12330387 12322384 12320110
12330388 12323122 12323452
12330389 12328110 12321859
12330390 12320670 12327408
12330391 12322487 12320021
12330392 12324972 12321689
12330393 12320396 12326509
12330394 12320188 12321076
12330395 12325645 12329949
12330396 12321289 12329658
12330397 12323359 12329760
12330398 12321223 12326292
12330399 12328970 12328650
12330400 12322178 12327761
12330401 12321680 12320631
12330402 12328665 12324198
12330403 12321150 12323031
12330404 12323760 12329555
12330405 12324458 12327043
12330406 12327948 12329106
12330407 12322808 12322105
12330408 12327215 12324842
12330409 12323568 12324104
12330410 12327496 12323857
12330411 12323258 12321319
12330412 12321944 12321658
12330413 12320044 12321677
12330414 12329081 12329573
12330415 12321203 12326397
12330416 12329257 12325281
12330417 12328453 12328337
12330418 12329180 12320797
12330419 12326253 12324886
12330420 12327167 12328904
12330421 12324536 12320062
12330422 12328266 12323314
12330423 12323512 12329358
12330424 12320258 12328401
12330425 12329956 12323258
12330426 12322212 12326948
12330427 12327753 12324928
12330428 12323854 12329364
12330429 12321211 12327706
12330430 12324825 12321355
12330431 12328228 12329905
12330432 12323355 12326249
12330433 12324887 12327170
12330434 12327385 12328884
12330435 12325586 12326710
12330436 12327369 12326009
12330437 12329153 12321117
12330438 12323757 12321207
12330439 12323253 12321164
12330440 12323650 12320423
12330441 12328544 12322097
12330442 12322312 12326053
12330443 12325844 12322640
12330444 12321385 12326716
12330445 12325645 12325233
12330446 12328158 12325034
12330447 12328744 12325052
12330448 12321384 12328604
12330449 12326881 12323062
12330450 12325985 12326748
12330451 12322416 12328880
12330452 12329999 12325974
12330453 12327821 12321198
12330454 12323914 12324231
12330455 12326663 12327307
12330456 12326008 12323381
12330457 12321735 12325743
12330458 12320325 12326569
12330459 12321357 12325021
12330460 12323975 12323362
12330461 12329477 12325437
12330462 12326075 12329893
12330463 12321613 12329705
12330464 12326098 12320188
12330465 12322957 12320380
12330466 12324697 12322910
12330467 12321879 12320733
12330468 12329221 12325922
12330469 12323296 12324610
12330470 12323530 12321028
12330471 12321859 12328777
12330472 12321055 12322505
12330473 12328735 12321266
12330474 12326844 12323178
12330475 12327887 12320835
12330476 12324014 12322903
12330477 12324439 12320875
12330478 12324680 12322601
12330479 12328790 12329160
12330480 12329262 12329656
12330481 12328180 12326087
12330482 12326576 12325973
12330483 12326272 12322103
12330484 12323613 12320701
12330485 12329045 12327468
12330486 12323998 12329999
12330487 12325134 12324130
12330488 12320519 12327564
12330489 12328760 12329885
12330490 12320925 12328437
12330491 12323555 12320715
12330492 12323406 12328328
12330493 12327217 12320425
12330494 12324172 12327771
12330495 12326187 12328998
12330496 12326757 12326299
12330497 12328874 12320152
12330498 12327154 12320803
12330499 12325623 12329045
12330500 12322077 12329021
12330501 12321050 12321749
12330502 12320384 12322240
12330503 12328112 12321649
12330504 12327999 12322635
12330505 12325024 12327025
12330506 12329343 12320309
12330507 12326157 12320637
12330508 12325118 12322008
12330509 12324071 12328464
12330510 12321264 12320062
12330511 12323537 12326059
12330512 12323507 12321331
12330513 12329495 12328134
12330514 12325321 12328113
12330515 12322742 12326334
12330516 12320401 12324098
12330517 12327651 12323257
12330518 12322211 12326329
12330519 12326655 12329571
12330520 12326917 12324055
12330521 12324467 12324326
12330522 12329597 12323645
12330523 12326308 12325049
12330524 12329704 12325855
12330525 12320258 12324204
12330526 12324678 12324778
12330527 12329461 12324611
12330528 12327333 12322145
12330529 12325076 12324864
12330530 12324354 12320204
12330531 12326150 12320135
12330532 12328356 12320200
12330533 12327387 12324211
12330534 12326774 12328505
12330535 12324441 12325919
12330536 12322281 12329559
12330537 12321417 12320172
12330538 12321666 12328472
12330539 12323387 12326805
12330540 12324145 12325796
12330541 12320595 12323606
12330542 12321051 12321655
12330543 12321843 12328150
12330544 12326330 12324824
12330545 12329371 12329844
12330546 12329055 12329201
12330547 12320563 12323105
12330548 12329692 12322627
12330549 12320571 12322938
12330550 12320771 12327259
12330551 12321766 12327441
12330552 12326650 12324631
12330553 12329431 12329322
12330554 12324067 12323642
12330555 12322626 12321479
12330556 12325389 12325211
12330557 12326552 12321837
12330558 12327919 12323510
12330559 12326970 12326447
12330560 12329969 12329873
12330561 12322211 12322333
12330562 12329282 12322165
12330563 12322702 12322253
12330564 12328875 12323555
12330565 12322829 12328446
12330566 12326885 12324887
12330567 12328284 12320904
12330568 12322004 12329076
12330569 12324966 12324683
12330570 12328511 12324711
12330571 12325482 12329371
12330572 12325357 12326712
12330573 12321273 12326727
12330574 12328139 12324268
12330575 12326680 12325851
12330576 12326941 12324350
12330577 12327159 12324018
12330578 12323272 12328486
12330579 12324370 12321014
12330580 12328716 12320143
12330581 12323763 12322977
12330582 12320339 12329085
12330583 12328030 12325558
12330584 12324773 12327890
12330585 12321032 12327124
12330586 12321932 12324555
12330587 12324398 12327194
12330588 12327183 12322672
12330589 12324802 12324345
12330590 12320800 12326606
12330591 12325823 12327820
12330592 12328108 12323754
12330593 12322589 12325763
12330594 12320520 12324792
12330595 12328844 12325674
12330596 12320834 12327886
12330597 12323436 12320286
12330598 12321553 12328052
12330599 12328914 12329739
12330600 12320191 12325222
12330601 12327255 12328612
12330602 12329084 12327246
12330603 12320120 12329870
12330604 12321909 12327554
12330605 12324554 12320057
12330606 12327539 12321775
12330607 12325821 12324824
12330608 12322013 12325195
12330609 12325256 12322328
12330610 12324517 12327087
12330611 12328533 12327909
12330612 12329539 12329348
12330613 12325449 12324867
12330614 12329141 12327212
12330615 12325451 12320259
12330616 12329929 12326153
12330617 12322825 12329413
12330618 12323695 12323759
12330619 12322894 12329982
12330620 12329424 12328754
12330621 12322905 12326219
12330622 12326047 12325327
12330623 12323379 12321798
12330624 12324211 12324853
12330625 12322645 12329076
12330626 12326062 12329635
12330627 12323217 12327184
12330628 12327506 12320433
12330629 12329284 12320353
12330630 12327762 12327184
12330631 12323797 12320888
12330632 12323130 12329660
12330633 12326576 12323420
12330634 12321551 12329030
12330635 12321683 12320283
12330636 12326235 12320188
12330637 12326454 12329498
12330638 12326831 12326575
12330639 12323676 12328617
12330640 12323278 12324307
12330641 12325928 12321246
12330642 12323881 12328881
12330643 12328037 12325975
12330644 12322080 12328694
12330645 12329999 12323791
12330646 12327641 12321156
12330647 12324957 12320648
12330648 12328422 12326149
12330649 12329967 12325444
12330650 12322961 12329666
12330651 12324798 12327098
12330652 12326214 12325651
12330653 12323770 12322641
12330654 12320725 12328181
12330655 12328315 12323851
12330656 12327839 12321688
12330657 12320017 12323269
12330658 12325787 12322294
12330659 12321801 12321698
12330660 12324777 12321785
12330661 12323021 12327981
12330662 12328301 12328160
12330663 12322485 12326776
12330664 12321980 12325751
12330665 12325322 12320775
12330666 12325791 12324979
12330667 12322353 12325331
12330668 12326390 12321779
12330669 12323933 12324614
12330670 12320105 12320837
12330671 12326802 12323637
12330672 12327314 12321192
12330673 12326313 12324836
12330674 12327966 12324292
12330675 12327322 12329112
12330676 12328036 12321031
12330677 12322930 12326530
12330678 12328317 12329942
12330679 12324029 12320188
12330680 12323031 12321690
12330681 12324281 12328984
12330682 12328537 12322568
