index geno pheno1 pheno2 fit
0 0 -1.18581 1.21593 0.904668
1 2 5.16511 0.999457 1.24048
2 1 1.57425 1.83762 1.03096
3 1 0.00648235 2.70418 0.911479
4 0 0.111979 1.76393 0.937637
5 1 0.809223 0.635518 1.02384
6 2 2.37631 1.53387 1.07384
7 2 1.11126 0.794483 1.01642
8 1 0.64509 0.815469 0.992799
9 2 2.03692 3.90058 0.991387
10 1 0.942162 1.53257 0.984102
11 0 0.81545 1.63175 0.987241
12 1 0.708999 1.71069 0.996027
13 2 0.973721 1.57656 1.01671
14 1 3.06026 3.65995 1.04532
15 1 0.508406 1.28604 0.968161
16 0 -0.794799 -1.09959 1.00175
17 1 0.238842 1.03889 0.975997
18 0 -1.19205 -0.0152464 0.937417
19 0 0.301899 1.60548 0.959694
20 2 2.55979 1.33466 1.09608
21 2 0.685407 -0.057618 1.03715
22 1 0.471494 2.65533 0.916068
23 2 2.87293 1.6755 1.08405
24 2 2.92855 2.45913 1.08406
25 0 0.773167 0.393449 1.02437
26 1 -0.260928 0.383918 0.979987
27 2 5.16021 2.79471 1.17079
28 1 0.0785549 0.393243 0.99997
29 2 1.86861 0.740861 1.08616
30 1 1.34532 -0.546709 1.07627
31 0 -2.08002 0.923913 0.84929
32 1 1.36219 3.53294 0.949902
33 1 3.55653 2.14629 1.12285
34 1 1.22994 -0.762127 1.07492
35 2 2.60968 0.547527 1.1062
36 1 0.680982 0.885055 0.989868
37 1 2.32265 0.879066 1.08469
38 0 -0.834739 2.23411 0.885169
39 2 3.11159 3.30638 1.04918
40 2 1.50898 2.60849 0.989285
41 1 0.70605 0.945718 1.02108
42 2 1.94399 2.23598 1.02131
43 2 2.37353 1.67798 1.08404
44 0 -0.582611 -1.48277 1.01667
45 1 0.546347 1.56256 0.987795
46 2 3.13881 0.794161 1.11669
47 2 1.67859 3.95526 0.969407
48 0 0.671919 -0.206628 1.03632
49 1 0.446064 -0.198436 1.01757
50 1 -0.200951 -0.407526 0.984473
51 0 1.3502 -0.563124 1.08583
52 0 -0.527971 -0.89372 0.985014
53 1 -0.982184 1.17534 0.913416
54 0 -0.883027 -1.59451 1.00087
55 1 2.72736 2.34042 1.06807
56 2 2.16632 4.30293 0.983033
57 1 0.350018 1.97942 0.955112
58 1 1.87871 1.13803 1.0591
59 1 1.34445 0.275658 1.05108
60 1 2.21473 1.32606 1.07954
61 2 1.89567 2.59533 1.0067
62 1 3.19892 1.65938 1.12102
63 1 1.32538 -0.817964 1.0917
64 1 1.03093 1.78686 1.00231
65 0 1.83661 0.97603 1.05609
66 1 1.60384 1.71021 1.02463
67 2 3.31793 1.89393 1.10379
68 0 1.29018 0.810669 1.02986
69 0 -1.5134 0.26333 0.909309
70 2 2.83126 2.02371 1.07229
71 0 -1.08617 2.23803 0.88255
72 1 0.585862 1.1637 0.999011
73 1 1.01533 0.993824 1.01616
74 1 2.95109 1.22957 1.1319
75 2 2.64108 3.53868 1.03529
76 1 -0.242518 1.63548 0.946825
77 0 0.645701 0.464219 1.01711
78 1 0.573968 0.906023 1.00073
79 1 0.520635 2.68716 0.940965
80 2 0.453859 2.16554 0.952681
81 2 1.81797 3.02878 0.992583
82 1 1.31762 -1.45161 1.09235
83 1 1.73386 -0.272315 1.08841
84 2 2.09611 2.62578 1.03236
85 0 -0.28222 -1.05507 1.01874
86 2 3.50923 2.35458 1.1132
87 1 0.849147 1.13954 1.02347
88 2 1.02781 1.62158 0.984063
89 0 -0.652296 0.193484 0.963536
90 1 0.645227 0.209867 1.03599
91 0 -0.645766 -0.828341 0.987415
92 0 -1.84533 0.251684 0.893315
93 0 -0.43845 -1.18571 1.00624
94 1 -0.113125 0.933001 0.978614
95 2 3.50345 2.62606 1.09862
96 1 0.528281 0.57922 1.01341
97 1 0.564641 1.66061 0.985183
98 1 -0.536858 0.790619 0.959226
99 1 1.42339 0.377333 1.08419
100 1 0.0298063 -0.0381258 0.997209
101 0 1.90516 0.230644 1.09219
102 2 0.99475 3.03586 0.96084
103 0 -0.1705 0.140453 0.986796
104 0 -0.294747 2.11173 0.9104
105 0 0.449945 -0.565196 1.02899
106 1 1.70844 2.64749 1.01828
107 1 3.08082 0.108318 1.15255
